#Energy [keV]	dN/dE	unc
0	0.0000460424	0.000000542661
7	0.0000477954	0.000000563721
14	0.0000496624	0.000000585959
21	0.0000516436	0.000000609375
28	0.000053727	0.000000633968
35	0.0000559078	0.00000065974
42	0.0000581473	0.000000686226
49	0.0000603781	0.000000712596
56	0.0000626154	0.000000739052
63	0.000064849	0.000000765465
70	0.0000670803	0.000000791854
77	0.0000693082	0.000000818207
84	0.0000715333	0.000000844529
91	0.0000737556	0.000000870821
98	0.0000759759	0.000000897095
105	0.0000781943	0.000000923347
115	0.0000813617	0.000000960838
125	0.000084528	0.000000998322
135	0.0000876943	0.00000103581
145	0.0000908616	0.00000107332
155	0.0000940306	0.00000111086
165	0.0000972021	0.00000114843
175	0.000100376	0.00000118605
185	0.000103554	0.0000012237
195	0.000106734	0.00000126141
205	0.000109919	0.00000129916
215	0.000113107	0.00000133696
225	0.000116298	0.00000137481
235	0.000119493	0.00000141271
245	0.000122691	0.00000145066
255	0.000125892	0.00000148864
265	0.000129096	0.00000152668
275	0.000132303	0.00000156475
285	0.000135512	0.00000160285
295	0.000138723	0.00000164098
305	0.000141936	0.00000167914
315	0.00014515	0.00000171733
325	0.000148365	0.00000175553
335	0.000151581	0.00000179375
345	0.000154796	0.00000183197
355	0.000158011	0.00000187019
365	0.000161226	0.00000190843
375	0.00016444	0.00000194665
385	0.000167652	0.00000198487
395	0.000170863	0.00000202306
405	0.00017407	0.00000206124
415	0.000177275	0.00000209938
425	0.000180476	0.0000021375
435	0.000183674	0.00000217558
445	0.000186867	0.00000221361
455	0.000190056	0.00000225159
465	0.000193239	0.00000228952
475	0.000196417	0.00000232739
485	0.000199589	0.0000023652
495	0.000202753	0.00000240293
505	0.000205911	0.00000244059
515	0.000209062	0.00000247817
525	0.000212205	0.00000251566
535	0.000215339	0.00000255306
545	0.000218464	0.00000259036
555	0.000221579	0.00000262755
565	0.000224685	0.00000266464
575	0.000227782	0.00000270162
585	0.000230868	0.00000273848
595	0.000233942	0.00000277521
605	0.000237005	0.00000281181
615	0.000240055	0.00000284828
625	0.000243093	0.0000028846
635	0.000246119	0.00000292078
645	0.000249131	0.00000295681
655	0.00025213	0.00000299269
665	0.000255115	0.00000302841
675	0.000258085	0.00000306397
685	0.000261041	0.00000309935
695	0.000263981	0.00000313455
705	0.000266905	0.00000316958
715	0.000269814	0.00000320443
725	0.000272705	0.00000323909
735	0.00027558	0.00000327354
745	0.000278438	0.00000330781
755	0.000281278	0.00000334187
765	0.0002841	0.00000337572
775	0.000286904	0.00000340936
785	0.000289689	0.00000344279
795	0.000292455	0.000003476
805	0.000295201	0.00000350897
815	0.000297928	0.00000354173
825	0.000300635	0.00000357425
835	0.000303321	0.00000360653
845	0.000305987	0.00000363857
855	0.000308631	0.00000367036
865	0.000311253	0.0000037019
875	0.000313854	0.00000373319
885	0.000316433	0.00000376422
895	0.000318989	0.00000379498
905	0.000321522	0.00000382548
915	0.000324033	0.00000385572
925	0.00032652	0.00000388568
935	0.000328982	0.00000391535
945	0.000331422	0.00000394476
955	0.000333837	0.00000397389
965	0.000336228	0.00000400272
975	0.000338593	0.00000403126
985	0.000340934	0.0000040595
995	0.000343249	0.00000408745
1005	0.000345538	0.00000411509
1020	0.000348924	0.00000415599
1035	0.00035225	0.0000041962
1050	0.000355517	0.0000042357
1065	0.000358722	0.00000427447
1080	0.000361866	0.00000431253
1095	0.000364948	0.00000434985
1110	0.000367967	0.00000438642
1125	0.000370921	0.00000442223
1140	0.000373812	0.0000044573
1155	0.000376636	0.00000449157
1170	0.000379396	0.00000452508
1185	0.000382088	0.00000455779
1200	0.000384714	0.00000458971
1215	0.000387271	0.00000462081
1230	0.000389761	0.00000465111
1245	0.000392181	0.0000046806
1260	0.000394533	0.00000470925
1275	0.000396814	0.00000473707
1290	0.000399025	0.00000476405
1305	0.000401166	0.0000047902
1320	0.000403236	0.00000481549
1335	0.000405234	0.00000483991
1350	0.00040716	0.00000486349
1365	0.000409014	0.00000488619
1380	0.000410796	0.00000490804
1395	0.000412504	0.00000492899
1410	0.00041414	0.00000494908
1425	0.000415701	0.00000496827
1440	0.00041719	0.00000498658
1455	0.000418604	0.000005004
1470	0.000419945	0.00000502052
1485	0.000421211	0.00000503615
1500	0.000422403	0.00000505088
1515	0.000423521	0.00000506472
1530	0.000424564	0.00000507765
1545	0.000425533	0.00000508968
1560	0.000426427	0.00000510079
1575	0.000427247	0.000005111
1590	0.000427991	0.0000051203
1605	0.000428661	0.00000512869
1620	0.000429256	0.00000513619
1635	0.000429777	0.00000514278
1650	0.000430224	0.00000514845
1665	0.000430596	0.00000515321
1680	0.000430894	0.00000515706
1695	0.000431118	0.00000516001
1710	0.000431268	0.00000516205
1725	0.000431345	0.00000516318
1740	0.000431348	0.0000051634
1755	0.000431279	0.00000516272
1770	0.000431136	0.00000516114
1785	0.000430921	0.00000515867
1800	0.000430633	0.00000515529
1815	0.000430274	0.00000515103
1830	0.000429844	0.00000514587
1845	0.000429342	0.00000513983
1860	0.000428768	0.00000513289
1875	0.000428126	0.00000512509
1890	0.000427413	0.00000511641
1905	0.000426631	0.00000510685
1920	0.00042578	0.00000509643
1935	0.00042486	0.00000508514
1950	0.000423873	0.00000507301
1965	0.000422818	0.00000506001
1980	0.000421698	0.00000504619
1995	0.000420511	0.00000503152
2010	0.000419258	0.00000501601
2025	0.000417941	0.00000499967
2040	0.000416559	0.00000498251
2055	0.000415116	0.00000496456
2070	0.000413608	0.00000494578
2085	0.000412039	0.00000492622
2100	0.000410409	0.00000490586
2115	0.000408718	0.00000488471
2130	0.000406964	0.00000486279
2145	0.000405143	0.00000484011
2160	0.000403254	0.00000481667
2175	0.000401296	0.00000479248
2190	0.000399273	0.00000476756
2205	0.000397182	0.00000474189
2220	0.000395026	0.00000471552
2235	0.000392805	0.00000468844
2250	0.000390519	0.00000466066
2265	0.00038817	0.00000463222
2280	0.000385757	0.00000460309
2295	0.000383282	0.0000045733
2310	0.000380744	0.00000454285
2325	0.000378146	0.00000451175
2340	0.000375489	0.00000448004
2355	0.00037277	0.00000444768
2370	0.000369994	0.00000441474
2385	0.00036716	0.00000438118
2400	0.000364269	0.00000434706
2415	0.000361321	0.00000431236
2430	0.000358318	0.0000042771
2445	0.00035526	0.00000424129
2460	0.000352149	0.00000420497
2475	0.000348985	0.00000416811
2490	0.00034577	0.00000413077
2505	0.000342503	0.00000409293
2520	0.000339188	0.00000405462
2535	0.000335822	0.00000401585
2550	0.00033241	0.00000397663
2565	0.00032895	0.00000393699
2580	0.000325445	0.00000389692
2595	0.000321895	0.00000385647
2610	0.000318301	0.00000381563
2625	0.000314666	0.00000377443
2640	0.000310989	0.00000373287
2655	0.000307271	0.00000369098
2670	0.000303514	0.00000364876
2685	0.000299719	0.00000360625
2700	0.000295888	0.00000356346
2715	0.000292022	0.00000352039
2730	0.00028812	0.00000347708
2745	0.000284186	0.00000343353
2760	0.000280221	0.00000338977
2775	0.000276224	0.00000334581
2790	0.000272199	0.00000330167
2805	0.000268146	0.00000325737
2820	0.000264066	0.00000321292
2835	0.00025996	0.00000316834
2850	0.000255831	0.00000312365
2865	0.00025168	0.00000307888
2880	0.000247508	0.00000303404
2895	0.000243316	0.00000298914
2910	0.000239106	0.00000294421
2925	0.000234879	0.00000289926
2940	0.000230637	0.0000028543
2955	0.000226381	0.00000280937
2970	0.000222113	0.00000276447
2985	0.000217834	0.00000271963
3000	0.000213547	0.00000267487
3015	0.000209251	0.00000263019
3030	0.00020495	0.00000258563
3045	0.000200643	0.0000025412
3060	0.000196335	0.00000249691
3075	0.000192025	0.00000245278
3090	0.000187715	0.00000240883
3105	0.000183409	0.00000236508
3120	0.000179105	0.00000232153
3135	0.000174807	0.00000227822
3150	0.000170516	0.00000223515
3165	0.000166234	0.00000219233
3180	0.000161964	0.00000214979
3195	0.000157705	0.00000210754
3210	0.000153461	0.00000206559
3225	0.000149234	0.00000202394
3240	0.000145023	0.00000198262
3255	0.000140833	0.00000194164
3270	0.000136665	0.000001901
3285	0.000132519	0.0000018607
3300	0.0001284	0.00000182078
3315	0.000124307	0.00000178121
3330	0.000120244	0.00000174203
3345	0.000116212	0.00000170322
3360	0.000112213	0.00000166479
3375	0.000108249	0.00000162673
3390	0.000104323	0.00000158906
3405	0.000100435	0.00000155178
3420	0.0000965881	0.00000151486
3435	0.0000927848	0.00000147832
3450	0.0000890265	0.00000144214
3465	0.0000853154	0.00000140632
3480	0.0000816537	0.00000137084
3495	0.0000780434	0.00000133588
3510	0.0000744866	0.00000130139
3525	0.0000709857	0.00000126722
3540	0.0000675426	0.00000123336
3555	0.0000641595	0.00000119977
3570	0.0000608385	0.00000116644
3585	0.0000575819	0.00000113334
3600	0.0000543919	0.00000110045
3615	0.0000512708	0.00000106773
3630	0.0000482207	0.00000103516
3645	0.000045244	0.00000100268
3660	0.0000423428	0.000000970282
3675	0.0000395195	0.000000937911
3690	0.0000367764	0.00000090553
3705	0.0000341158	0.000000873095
3720	0.00003154	0.000000840561
3735	0.0000290514	0.000000807879
3750	0.0000266523	0.000000775004
3765	0.000024345	0.000000741882
3780	0.000022132	0.000000708462
3795	0.0000200157	0.000000674692
3810	0.0000179983	0.000000640516
3825	0.0000160827	0.00000060588
3840	0.0000142707	0.000000570726
3855	0.0000125651	0.000000534998
3870	0.0000109683	0.000000498639
3885	0.00000948261	0.000000461591
3900	0.00000811058	0.000000423796
3915	0.00000685476	0.000000385196
3930	0.00000571752	0.000000345735
3945	0.00000470128	0.000000305358
3960	0.0000038085	0.000000264012
3975	0.00000304159	0.000000221646
3990	0.00000240295	0.000000178217
4005	0.000001895	0.000000133692
4020	0.00000151999	0.0000000880648
4035	0.00000127993	0.0000000414348
4050	0.00000116731	0.00000000344048
4065	0.00000110075	0.000000000526801
4080	0.00000104943	0.00000000044946
4095	0.000000999031	0.000000000444364
4110	0.000000949531	0.000000000438932
4125	0.000000900956	0.000000000433156
4140	0.000000853333	0.000000000427032
4155	0.000000806688	0.000000000420554
4170	0.000000761049	0.00000000041372
4185	0.000000716444	0.00000000040652
4200	0.0000006729	0.000000000398954
4215	0.000000630445	0.000000000391014
4230	0.000000589106	0.000000000382696
4245	0.000000548912	0.000000000373994
4260	0.000000509891	0.000000000364906
4275	0.000000472071	0.000000000355424
4290	0.000000435481	0.000000000345544
4305	0.000000400148	0.00000000033526
4320	0.000000366103	0.00000000032457
4335	0.000000333374	0.000000000313466
4350	0.000000301989	0.000000000301946
4365	0.000000271977	0.000000000290002
4380	0.000000243369	0.00000000027763
4395	0.000000216193	0.000000000264828
4410	0.000000190478	0.000000000251588
4425	0.000000166255	0.000000000237908
4440	0.000000143552	0.000000000223782
4455	0.000000122399	0.000000000209206
4470	0.000000102825	0.000000000194177
4485	0.0000000848612	0.00000000017869
4500	0.0000000685359	0.000000000162742
4515	0.000000053879	0.000000000146329
4530	0.0000000409198	0.000000000129451
4545	0.0000000296876	0.000000000112104
4560	0.0000000202111	0.0000000000942898
4575	0.0000000125189	0.0000000000760094
4590	0.00000000663835	0.0000000000572692
4605	0.00000000259567	0.0000000000380834
4620	0.00000000041384	0.0000000000184883
4630	0	0
